[INFO](2026-06-03 00:17:21.746)	 LLA:LLA:start command(from ): Update[]
[INFO](2026-06-03 00:17:23.787)	 LLA:LLA 设置真空上限值：10.000000, 抽真空设定值：10.000000
[INFO](2026-06-03 00:17:23.811)	 LLA:LLA 设置快充隔膜阀真空设定值：31000.000000, 快抽角阀真空设定值：31000.000000
[INFO](2026-06-03 00:17:23.815)	 LLA:LLA 设置粗抽完成真空设定值：10.000000
[INFO](2026-06-03 00:18:08.631)	 LLA:LLA:start command(from ): Reset[]
[INFO](2026-06-03 00:18:08.708)	 LLA:复位命令开始.
[INFO](2026-06-03 00:19:31.482)	 LLA:已发送上料请求.
[INFO](2026-06-03 00:19:31.993)	 LLA:等待EFEM上料中...
[WARN](2026-06-03 00:19:32.906)	 LLA:当前传片模式是:Go_Up_And_Down.
[INFO](2026-06-03 00:19:52.046)	 LLA:等待EFEM上料中...
[INFO](2026-06-03 00:20:02.085)	 LLA:放LL晶圆,step:135
[INFO](2026-06-03 00:20:18.652)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:20:18.652)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:20:18.678)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[WARN](2026-06-03 00:20:18.746)	 LLA:step 1051读取PM2调度快照失败，回退等待后重试.
[INFO](2026-06-03 00:20:22.458)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:20:22.458)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:20:22.498)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:20:26.228)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:20:26.229)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:20:26.255)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:20:29.976)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:20:29.976)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:20:30.001)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:20:33.738)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:20:33.738)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:20:33.785)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:20:37.522)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:20:37.522)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:20:37.531)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:20:41.271)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:20:41.271)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:20:41.278)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
