[INFO](2026-06-03 00:17:21.758)	 LLB:LLB:start command(from ): Update[]
[INFO](2026-06-03 00:17:23.823)	 LLB:LLB 设置真空上限值：10.000000, 抽真空设定值：10.000000
[INFO](2026-06-03 00:17:23.834)	 LLB:LLB 设置快充隔膜阀真空设定值：31000.000000, 快抽角阀真空设定值：31000.000000
[INFO](2026-06-03 00:17:23.839)	 LLB:LLB 设置粗抽完成真空设定值：10.000000
[INFO](2026-06-03 00:18:08.634)	 LLB:LLB:start command(from ): Reset[]
[INFO](2026-06-03 00:18:08.718)	 LLB:复位命令开始.
[INFO](2026-06-03 00:19:31.980)	 LLB:已发送上料请求.
[INFO](2026-06-03 00:19:32.482)	 LLB:等待EFEM上料中...
[INFO](2026-06-03 00:19:46.532)	 LLB:等待EFEM上料中...
[INFO](2026-06-03 00:20:00.597)	 LLB:等待EFEM上料中...
[WARN](2026-06-03 00:20:13.939)	 LLB:当前传片模式是:Go_Up_And_Down.
[INFO](2026-06-03 00:20:14.656)	 LLB:等待EFEM上料中...
[INFO](2026-06-03 00:20:28.742)	 LLB:等待EFEM上料中...
[INFO](2026-06-03 00:20:42.834)	 LLB:等待EFEM上料中...
[INFO](2026-06-03 00:20:44.458)	 LLB:放LL晶圆,step:135
[INFO](2026-06-03 00:20:52.743)	 LLB:EFEM上料完成.
[INFO](2026-06-03 00:20:59.262)	 LLB:step 1051 WTR空闲，准备取片.
[INFO](2026-06-03 00:20:59.263)	 LLB:step:1051,loadLockB PendingTasks 有片,触发Robot取片流程.
[WARN](2026-06-03 00:20:59.278)	 LLB:检测状态:pm2Has=0, armA_has=0, armB_has=0
[WARN](2026-06-03 00:20:59.295)	 LLB:step 1051读取PM2调度快照失败，回退等待后重试.
[INFO](2026-06-03 00:21:03.004)	 LLB:step 1051 WTR空闲，准备取片.
[INFO](2026-06-03 00:21:03.005)	 LLB:step:1051,loadLockB PendingTasks 有片,触发Robot取片流程.
[WARN](2026-06-03 00:21:03.022)	 LLB:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:21:06.755)	 LLB:step 1051 WTR空闲，准备取片.
[INFO](2026-06-03 00:21:06.755)	 LLB:step:1051,loadLockB PendingTasks 有片,触发Robot取片流程.
[WARN](2026-06-03 00:21:06.763)	 LLB:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:21:10.494)	 LLB:step 1051 WTR空闲，准备取片.
[INFO](2026-06-03 00:21:10.494)	 LLB:step:1051,loadLockB PendingTasks 有片,触发Robot取片流程.
[WARN](2026-06-03 00:21:10.510)	 LLB:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:21:14.241)	 LLB:step 1051 WTR空闲，准备取片.
[INFO](2026-06-03 00:21:14.241)	 LLB:step:1051,loadLockB PendingTasks 有片,触发Robot取片流程.
[WARN](2026-06-03 00:21:14.258)	 LLB:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:21:18.012)	 LLB:step 1051 WTR空闲，准备取片.
[INFO](2026-06-03 00:21:18.012)	 LLB:step:1051,loadLockB PendingTasks 有片,触发Robot取片流程.
